Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
C,6,0.642655674166666,0.642655674166666,False,46.69150631267586,2.562894817937748,0.0,,,,,,
C,20,0.177572003999999,0.177572003999999,False,238.52255326536243,1.672314531438791,0.244099999999999,,,,,,
C,2,0.0,0.0,True,18.32977894194205,2.1761568056275022,1.376199999999999,,,,,,
C,4,0.139477217500001,0.139477217500001,False,22.62486466492122,3.526073970466666,3.3394999999999992,435.393,435.355,435.374,529.67,521.623,525.646
C,4,0.003121854999999,0.003121854999999,False,41.13742607024477,1.9392789972830464,0.0,227.728,4.224,115.976,178.72,0.747,89.734
C,120,0.5308612086666671,0.5308612086666661,False,1096.8249354742893,2.182033170475266,0.304199999999999,,,,,,
C,16,0.008188829999999,0.008188829999999,False,146.4312489993012,2.179232832486199,0.0,230.076,5.993,118.035,180.558,-2.741,88.909
C,4,0.008253912499998,0.008253912499998,False,42.992443036021456,1.855603932846249,0.0,,,,,,
C,8,0.508887008749999,0.508887008749999,False,56.95982914804663,2.8011652272677363,0.0281,,,,,,
C,8,0.011936282499998,0.011936282499998,False,76.46980442737497,2.086495368405856,0.0,221.09,4.579,112.835,144.032,-1.46,71.286
C,4,0.009060210000001,0.009060210000001,False,57.80634416732178,1.380072508121142,0.0148,,,,,,
C,8,0.00210089125,0.00210089125,False,95.27008968843576,1.6747532544832562,0.1056,185.056,5.47,95.263,126.279,-0.481,62.899
C,10,0.120293071,0.120293071,False,56.46924149883774,3.531876126844723,4.5686,,,,,,
C,14,0.117805412142857,0.117805412142857,False,79.04177668450909,3.532553594355206,4.4229,435.383,435.246,435.315,523.346,520.508,521.927
C,8,0.765540527499998,0.765540527499998,False,56.81090330185562,2.8085082877991843,3.0059,311.258,311.258,311.258,231.399,207.586,219.493
C,8,0.945001213749998,0.945001213749998,False,83.31557669518253,1.915054772343011,0.0,,,,,,
C,12,0.006065369166668,0.006065369166667,False,154.09220450590703,1.55316642985502,0.0,,,,,,
C,8,0.12258669875,0.12258669875,False,45.17864359053767,3.531622024925885,4.521799999999999,435.56,435.554,435.557,525.632,521.766,523.699
C,12,0.118828639166666,0.118828639166667,False,67.75152593944757,3.53247894895872,4.399799999999999,,,,,,
C,16,0.117238123125,0.117238123125,False,90.31992538153077,3.53308291800795,4.3668,435.363,435.362,435.362,524.11,521.823,522.967
C,8,1.256077986249998,1.256077986249998,False,68.36619809859249,2.333812574022664,0.0,,,,,,
C,60,0.395542198499997,0.395542198499996,False,630.9094858450516,1.896712955744873,0.9121999999999992,,,,,,
C,2,0.0141120575,0.0141120575,False,19.66763956116844,2.028127120496463,0.0,,,,,,
C,2,0.112264900000001,0.112264900000001,False,11.286587893379403,3.534148102771878,4.1145,435.156,435.156,435.156,522.224,517.677,519.951
C,60,0.390676338333333,0.390676338333332,False,724.2407276528025,1.652287906512648,1.0093,,,,,,
C,60,0.409149981499998,0.409149981499998,False,601.9438089199996,1.98798322695879,0.7159,,,,,,
C,140,0.350412869071428,0.350412869071427,False,1584.1522911549594,1.762578723586691,1.1035,,,,,,
C,48,1.041364663541665,1.041364663541666,False,719.6868630744448,1.330194290992207,1.876599999999999,,,,,,
C,28,1.5011551592857142,1.5011551592857142,False,484.8792539235103,1.15170657466459,1.6358,,,,,,
C,4,0.0060562275,0.0060562275,False,36.59760567403456,2.179840590962765,0.0,231.682,5.949,118.816,181.221,2.5,91.861
C,4,0.008908770000001,0.008908770000001,False,126.09476181343716,0.632674547562438,0.012399999999999,,,,,,
C,2,0.013120765,0.013120765,False,44.527298939160254,0.895820634542786,9.9999999999989e-05,,,,,,
C,4,0.014401535000001,0.014401535000001,False,62.90913522759973,1.268129757175706,9.9999999999989e-05,,,,,,
C,1,2.756672782499999,2.756672782499999,False,5.610269252776693,3.554951767280407,0.0,355.313,355.313,355.313,470.475,470.447,470.461
Ca,4,0.179569497499999,0.179569497499999,False,184.8578506891327,1.440048871196534,0.0,13.203,11.188,12.196,-137.21,8.714,-64.248
Ca,2,0.010473554999999,0.010473554999999,False,87.02250606556609,1.529514324812333,0.0,,,,,,
Ca,4,0.27683042,0.27683042,False,178.1342979786874,1.494402494283007,0.0,,,,,,
Ca,1,0.399613499999999,0.399613499999999,False,42.459470160846514,1.567402620712517,0.0,,,,,,
Ca,8,0.019152001249999,0.019152001249999,False,333.55102316074857,1.596183616492226,0.0,,,,,,
Ca,2,0.013071680000001,0.013071680000001,False,86.19875997738622,1.544130909113659,0.0,,,,,,
Ca,4,0.008999964999999,0.008999964999999,False,174.55953806335285,1.525005978877473,0.0,,,,,,
